family,k,rep,gain,wins
MV,1,0,-1.1102230246251565e-16,2
MV,1,1,-0.057229570834955834,5
MV,1,2,-0.08209381309960184,5
MV,1,3,0.0023885143138001608,5
MV,1,4,-0.04659419199328885,6
MV,1,5,-0.031224164872829863,6
MV,1,6,0.0012112396372134793,2
MV,1,7,0.0023885143138001608,5
MV,1,8,-0.06662371138604395,6
MV,1,9,-0.07004268000508784,6
MV,1,10,-0.01457459446307674,5
MV,1,11,0.001816551707524261,4
MV,1,12,0.0693223191620631,3
MV,1,13,0.0012112396372134793,2
MV,1,14,-0.06662371138604395,6
MV,1,15,-0.06923380892771425,6
MV,1,16,-0.05187967753035061,5
MV,1,17,-0.06487743948720703,5
MV,1,18,-0.051435370711351625,6
MV,1,19,-0.04659419199328885,6
MV,1,20,-0.01457459446307674,5
MV,1,21,-0.08209381309960184,5
MV,1,22,0.0012112396372134793,2
MV,1,23,-0.06327081993880712,5
MV,1,24,-1.1102230246251565e-16,2
MV,1,25,0.01392041839330993,4
MV,1,26,0.0050272214483952915,4
MV,1,27,-0.061663413086056273,5
MV,1,28,-0.053375887108961684,6
MV,1,29,-0.07004268000508784,6
MV,1,30,-0.053375887108961684,6
MV,1,31,0.0050272214483952915,4
MV,1,32,-1.1102230246251565e-16,2
MV,1,33,-0.053375887108961684,6
MV,1,34,-0.05756458322560798,6
MV,1,35,-0.06923380892771425,6
MV,1,36,-1.1102230246251565e-16,2
MV,1,37,-0.0022937814321450922,4
MV,1,38,-0.057229570834955834,5
MV,1,39,0.0693223191620631,3
MV,1,40,-0.005499079476626423,6
MV,1,41,-0.08209381309960184,5
MV,1,42,0.013501587128026182,4
MV,1,43,-0.06451729299885123,6
MV,1,44,-0.06852060833789386,6
MV,1,45,-0.06852060833789386,6
MV,1,46,-0.04912535430216358,6
MV,1,47,-1.1102230246251565e-16,2
MV,1,48,-0.08209381309960184,5
MV,1,49,-1.1102230246251565e-16,2
MV,1,50,-0.051435370711351625,6
MV,1,51,-0.06340997874343557,5
MV,1,52,-0.06451729299885123,6
MV,1,53,-0.06487743948720703,5
MV,1,54,0.002660309204785327,5
MV,1,55,0.0693223191620631,3
MV,1,56,-0.06340997874343557,5
MV,1,57,-0.002415621493529585,5
MV,1,58,0.01392041839330993,4
MV,1,59,-1.1102230246251565e-16,2
MV,1,60,0.001816551707524261,4
MV,1,61,-0.057229570834955834,5
MV,1,62,-0.06451729299885123,6
MV,1,63,-0.04912535430216358,6
MV,1,64,0.001816551707524261,4
MV,1,65,0.007728058618099332,4
MV,1,66,0.0050272214483952915,4
MV,1,67,-0.028990881741904784,5
MV,1,68,-0.06052892769915674,6
MV,1,69,-0.0421054270569845,6
MV,1,70,-0.028990881741904784,5
MV,1,71,-1.1102230246251565e-16,2
MV,1,72,0.001816551707524261,4
MV,1,73,-0.04659419199328885,6
MV,1,74,0.0060538389671705994,4
MV,1,75,-0.06327081993880712,5
MV,1,76,-0.01457459446307674,5
MV,1,77,0.0050272214483952915,4
MV,1,78,-0.06052892769915674,6
MV,1,79,0.013501587128026182,4
MV,1,80,0.0050272214483952915,4
MV,1,81,-0.05187967753035061,5
MV,1,82,-0.028990881741904784,5
MV,1,83,0.0021959271535955116,4
MV,1,84,-0.0022937814321450922,4
MV,1,85,0.009461128818938902,3
