member,family,sigma,rho,breakeven,ratio
A00,other,7.1451007226563465,0.7630807786150533,0.7328463975602035,1.0412560956231842
A01,strong,6.070568294815107,0.858536329191568,0.862565260862944,0.9953291282941938
A02,strong,6.079734787505905,0.8720291688898606,0.8612647603583357,1.0124983733539108
A03,other,6.079290942813729,0.8714535089291446,0.8613276406836959,1.0117561166821618
A30,other,6.9782167971320375,0.750496328659803,0.750372405591576,1.000165148754543
A30L,other,7.055171495318137,0.7474127848125123,0.7421876744283723,1.0070401470735342
A40,other,7.179011487551446,0.7710513242029606,0.7293847257220991,1.0571256800580944
AIB,other,7.661914366257368,0.7253787164385761,0.6834142323312442,1.0614041705923856
ANS,other,5.444709343728811,0.955789525577686,0.9617154919086011,0.9938381294875946
B60,other,8.711998820163087,0.630795449216706,0.6010401783669534,1.049506292458848
BU60,other,9.733679071034308,0.5271241984329372,0.5379529452933876,0.9798704571557935
C00,other,10.91696987239735,0.543855002222876,0.47964420402432006,1.133871727542652
C01,other,8.406941351938379,0.6963136577246546,0.6228497506523215,1.1179480396281656
C02,other,7.545336613858699,0.75603514515745,0.6939731906971446,1.0894299020369358
CA,strong,6.330914556605619,0.8056536221690382,0.8270939811278991,0.9740774815824159
CA1,strong,6.4408914077607,0.7464486986747128,0.8129715272787059,0.9181732368577927
CAL,other,10.522629964699346,0.46206803533292706,0.49761906884208496,0.9285577347510376
CB,strong,6.504066168437208,0.794337856318904,0.8050750390907654,0.9866631279688067
CC,other,7.179011487551446,0.7710513242029606,0.7293847257220991,1.0571256800580944
CC2,strong,6.979317884541137,0.7517481387996547,0.7502540235918447,1.0019914791001814
CD1,other,7.302504812931687,0.7773951302635744,0.7170500340555536,1.0841574413806465
CDL,other,11.04330553488266,0.522978447901236,0.474157063595103,1.1029645829505623
CE,strong,6.282901819962887,0.7967191291497241,0.8334144754842661,0.9559698716377351
CG1,other,9.347439498681778,0.6919092750812441,0.5601813550696908,1.2351522749184778
CH1,other,7.108264600563904,0.79967146842184,0.736644120477467,1.0855601045230918
CHL,other,10.729319139378804,0.5334003865820137,0.4880329550069357,1.092959770666375
CL,lateral,10.046157858066229,0.4972908750749503,0.5212202912578392,0.9540896304609687
CM1,other,8.540471222787705,0.6645366124154031,0.6131115237332696,1.083875586563768
CML,other,20.812383876692905,0.2727356730287495,0.25159353949200525,1.084032895198472
CP1,other,8.56484570287411,0.7171216239817134,0.6113666849884261,1.1729811937581935
CP2,other,8.546255539492154,0.7311365817842398,0.6126965547199944,1.193309438663929
CS00,strong,6.305553382422004,0.8008711802743808,0.8304205844011471,0.9644163395250183
CS01,strong,6.244045001816792,0.7987087872130333,0.8386008305961835,0.95243023626057
CS02,strong,6.401953893894107,0.7959143750996475,0.8179161255437373,0.9731002363726924
CS03,other,6.494754159661432,0.8116071227343339,0.8062293346414322,1.0066702957357578
CS04,strong,6.3376261822036,0.7997946098086977,0.8262180782304923,0.9680187723822435
CS05,other,6.870438393397611,0.7653863128007923,0.7621436981132789,1.0042545975195238
CS06,strong,6.350020201495441,0.8027814185133268,0.824605459297651,0.9735339603464274
CS07,strong,6.21327488644364,0.8052484636263515,0.8427538488966881,0.9554966312886761
CS08,strong,6.11959261718631,0.7968728467666927,0.8556552130770853,0.9313013402921944
CS09,strong,6.302350469108505,0.7965747421430747,0.830842611890513,0.9587552813769811
CS10,other,6.366380751088561,0.8024510614211415,0.8224863591308428,0.9756405714364996
CS11,strong,6.287509957820727,0.803266936155289,0.8328036631242834,0.9645333849058892
D00,strong,6.059726171382037,0.8692696702524242,0.8641085713629334,1.0059727435423425
D05,other,9.829823415487102,0.5361459702055531,0.5326912909293636,1.0064853308755288
DE,strong,6.087438677210144,0.8324715041781413,0.8601747964060436,0.9677934155433857
E00,strong,6.0874716904071695,0.8324598560723505,0.8601701315597042,0.9677851224186219
E01,strong,6.169738637215421,0.8227537962618857,0.8487006715679588,0.9694275306061244
E02,strong,6.201670356926631,0.8059541752702435,0.8443308049991954,0.9545478744803246
E03,strong,6.30454179577911,0.827363265008451,0.8305538284018018,0.9961585110028447
E04,strong,6.2614747869351035,0.8128273692008493,0.8362664552653386,0.9719717490556855
E05,strong,6.096229921027484,0.8538352223285322,0.8589343565836127,0.9940634179829967
E06,strong,6.156995393396789,0.817837464007543,0.8504572425730996,0.961644422632155
E07,strong,6.095806793889673,0.8257355762414894,0.8589939776392265,0.9612821483462071
E08,strong,6.759980109969879,0.7307552918582787,0.7745971496396669,0.9434004400845228
E09,strong,6.831386813670563,0.7160606279381542,0.7665004877669959,0.9341946148321635
E10,strong,6.229058007863221,0.8200109645962687,0.8406184880913841,0.9754852840057032
E11,strong,6.300602320265496,0.8109319423779242,0.8310731353352362,0.9757648369307624
E14,strong,6.385224130158255,0.7924938873148276,0.8200591268318927,0.9663862779949087
E15,strong,6.259459897361599,0.8156458757603683,0.8365356453534636,0.9750282373391648
E18,strong,7.102220108828535,0.7597398345992888,0.7372710567354125,1.0304756000640614
E19,strong,6.252294324661813,0.799221324989697,0.8374943745289438,0.9543005294086019
F00,other,6.923398505037661,0.7563543380160654,0.7563137267042274,1.0000536963833977
F01,other,7.012643685868831,0.7693866723811837,0.7466886326129892,1.0303982661270257
F02,other,7.837178020808474,0.7293320010668354,0.6681309663887594,1.0916003564523689
F03,strong,5.968245352214826,0.8363926864010255,0.8773535630300998,0.9533131472246964
F04,other,6.0738485962342095,0.848235586338844,0.8620994155254373,0.9839185261735232
