w,rmsB,rmsP,move,n,gain
0,5.472418423960352,2.09019351715927,4.420357823034056,6014,-3.3822249068010826
1,5.19294247600545,2.3229345088803774,3.1801589149554768,4301,-2.8700079671250722
2,5.335676960013122,6.390858001362972,7.828809151003088,4296,1.05518104134985
3,3.998806182488759,2.0419049087943115,3.1255021777092393,3941,-1.9569012736944473
4,9.198587542650056,5.1226051500826015,4.204385657401627,6234,-4.075982392567455
5,4.643954469943995,3.0863136263627466,1.7696269453695648,5108,-1.557640843581248
6,8.851550949363757,13.68939710112303,3.9926867332426763,2786,4.837846151759273
7,6.0947044527298155,1.3548978418376747,5.544876050625279,4798,-4.739806610892141
8,2.4662160096829915,3.3481615020201025,2.405821572224092,2445,0.8819454923371111
9,1.1865481768053237,0.6492050791993135,0.7518404378019571,3879,-0.5373430976060102
10,6.529981755593046,4.878972261372325,2.06420779922378,6258,-1.6510094942207214
11,1.0965221322659224,2.3245528219613223,1.729871264610645,3509,1.2280306896953999
12,7.2164719687390635,4.8030539368132015,4.423980968568081,3885,-2.413418031925862
13,2.7750395237831813,0.5654660300003002,2.155700820275075,5488,-2.209573493782881
14,5.392389730446321,5.525043582377942,5.0697178630026905,5821,0.13265385193162071
15,5.9680371801336,3.8130259833421176,2.1909071071742954,5054,-2.1550111967914827
16,11.684467835734939,4.853411387537938,5.16239394076675,4879,-6.831056448197001
17,4.790213109859126,4.79377837864588,2.6097701920435816,4215,0.0035652687867537836
18,4.131923208596122,2.379225511357226,2.2227176234986485,5414,-1.7526976972388963
19,1.924554498220737,0.4777116649891648,1.4998074598237932,3271,-1.4468428332315721
20,19.43251670104077,14.216054583846175,3.9827397156171056,3272,-5.2164621171945935
21,3.825834867102538,2.4893505055679706,2.402753979665984,4883,-1.3364843615345676
22,4.814697465698653,3.1185360785425678,3.7694679258251953,4570,-1.696161387156085
23,14.063093120697937,2.434039336517998,10.307439949659905,6510,-11.62905378417994
24,3.713722227573663,1.2396017640399244,3.4227467619282796,5597,-2.4741204635337386
25,4.871782899449424,1.8209581363567817,2.849425122348845,5947,-3.050824763092642
