n,k,kn,gain
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,1,0.016666666666666666,0.0
60,2,0.03333333333333333,-0.05983391032278801
60,2,0.03333333333333333,0.00233789288306957
60,2,0.03333333333333333,0.011969931351595908
60,2,0.03333333333333333,0.00014883638250035025
60,2,0.03333333333333333,-0.005369661695289241
60,2,0.03333333333333333,-0.00262640569161815
60,2,0.03333333333333333,0.0007568930201495849
60,2,0.03333333333333333,0.022438331931405764
60,2,0.03333333333333333,0.012281625609332658
60,2,0.03333333333333333,0.011659965875653766
60,2,0.03333333333333333,-0.007123659769209534
60,2,0.03333333333333333,-0.02681672728949691
60,2,0.03333333333333333,-0.009877119848340832
60,2,0.03333333333333333,0.0306835199537292
60,2,0.03333333333333333,0.012617685930320754
60,2,0.03333333333333333,-0.0674275375889965
60,2,0.03333333333333333,-0.04669969670277552
60,2,0.03333333333333333,0.0017075670967700018
60,2,0.03333333333333333,0.008024327070664361
60,2,0.03333333333333333,-0.0031598208829048957
60,2,0.03333333333333333,0.006147086608359165
60,2,0.03333333333333333,0.006491695881906234
60,2,0.03333333333333333,-0.0021192001797875615
60,2,0.03333333333333333,-0.0038507478441435206
60,2,0.03333333333333333,0.004392479411904349
60,2,0.03333333333333333,-0.010330820823521658
60,2,0.03333333333333333,-0.006187111334272077
60,2,0.03333333333333333,-0.0009960894106590956
60,2,0.03333333333333333,-0.00463439374273783
60,2,0.03333333333333333,-0.0027682491531960673
60,2,0.03333333333333333,0.017533852493407387
60,2,0.03333333333333333,0.000464751229683813
60,2,0.03333333333333333,0.02340287601509561
60,2,0.03333333333333333,-0.06978125786227646
60,2,0.03333333333333333,-0.0006278190873184042
60,2,0.03333333333333333,0.0028877401569470385
60,2,0.03333333333333333,0.012358992891275955
60,2,0.03333333333333333,0.012157242813139624
60,2,0.03333333333333333,-0.008119499413936804
60,2,0.03333333333333333,0.0018423556528417984
60,3,0.05,-0.014873884137955262
60,3,0.05,-0.06408537471350251
60,3,0.05,-0.006045011987897697
60,3,0.05,-0.0426670856778088
60,3,0.05,0.016150749647627638
60,3,0.05,-0.011387802924705093
60,3,0.05,-0.0013390887874942248
60,3,0.05,0.021071671718555396
60,3,0.05,0.016104098440923975
60,3,0.05,-0.08378521980478981
60,3,0.05,-0.0011087009734381814
60,3,0.05,0.004324398670537077
60,3,0.05,0.003871199763888278
60,3,0.05,-0.004549383119873407
60,3,0.05,-0.014981858272433757
60,3,0.05,0.03237253882104335
60,3,0.05,0.014954095958851887
60,3,0.05,-0.01232415195531733
60,3,0.05,0.0015216281737037152
60,3,0.05,-0.013781922916338396
60,3,0.05,0.0056174506006844704
60,3,0.05,-0.013742686429854933
60,3,0.05,-0.02509897472552397
60,3,0.05,0.017811086294627854
60,3,0.05,0.0037782598108315746
60,3,0.05,-0.03016787424740569
60,3,0.05,-0.002950988290889245
60,3,0.05,-0.017638051219512285
60,3,0.05,0.010757585156689176
60,3,0.05,-0.011049882435450631
60,3,0.05,-0.07132647443350076
60,3,0.05,0.009308027614699399
60,3,0.05,0.00975327445698565
60,3,0.05,-0.02181969057725297
60,3,0.05,0.008345085145089692
60,3,0.05,-0.003351067327269419
60,3,0.05,-0.006261507653852139
60,3,0.05,-0.03720060141358772
60,3,0.05,-0.011059004933709593
60,3,0.05,0.029831881219996137
60,4,0.06666666666666667,-0.00048651199528049194
60,4,0.06666666666666667,-0.021134899407049268
60,4,0.06666666666666667,-0.028805634313053885
60,4,0.06666666666666667,0.015508880915032108
60,4,0.06666666666666667,-0.025206380179610743
60,4,0.06666666666666667,-0.01025690569208948
60,4,0.06666666666666667,0.008407350569452132
60,4,0.06666666666666667,0.028619769470618894
60,4,0.06666666666666667,0.010696168195987954
60,4,0.06666666666666667,-0.003686180714140397
60,4,0.06666666666666667,0.015151809470657362
60,4,0.06666666666666667,0.01783405156039447
60,4,0.06666666666666667,0.00121438200584284
60,4,0.06666666666666667,0.003379178282951756
60,4,0.06666666666666667,-0.003376912101081875
60,4,0.06666666666666667,-0.001632757573870769
60,4,0.06666666666666667,0.03419006697587701
